gr_number,po_number,vendor_name,item_description,quantity_ordered,quantity_received,date_received,condition,received_by
GR-2024-0001,PO-2024-0001,ProServ Consulting Group,Consulting Day Rate,5,5,07/04/2024,Damaged - partial,Sara Khan
GR-2024-0002,PO-2024-0002,ProServ Consulting Group,Training Session,1,1,08/05/2024,Good,Bilal Adnan
GR-2024-0004,PO-2024-0004,Horizon IT Equipment Co.,Network Switch,9,9,24/01/2024,Good,Bilal Adnan
GR-2024-0005,PO-2024-0005,ProServ Consulting Group,Audit Services,5,5,20/07/2024,Damaged - partial,Usman Ali
GR-2024-0006,PO-2024-0006,Apex Office Supplies Ltd.,A4 Paper Ream,101,101,12/06/2024,Good,Sara Khan
GR-2024-0007,PO-2024-0007,ProServ Consulting Group,Consulting Day Rate,7,7,28/06/2024,Damaged - partial,Ahmad Raza
GR-2024-0008,PO-2024-0008,Green Planet Cleaning Co.,Floor Cleaner 5L,10,10,16/06/2024,Good,Zainab Mir
GR-2024-0009,PO-2024-0009,TechCore Solutions Pvt.,"Monitor 24""",9,9,03/08/2024,Good,Bilal Adnan
GR-2024-0011,PO-2024-0011,ProServ Consulting Group,Legal Advisory Fee,3,3,06/06/2024,Good,Zainab Mir
GR-2024-0012,PO-2024-0012,Horizon IT Equipment Co.,Laptop,8,8,10/07/2024,Good,Sara Khan
GR-2024-0013,PO-2024-0013,Green Planet Cleaning Co.,Disinfectant Spray,77,77,10/07/2024,Good,Bilal Adnan
GR-2024-0014,PO-2024-0014,ProServ Consulting Group,Training Session,8,8,11/04/2024,Good,Sara Khan
GR-2024-0015,PO-2024-0015,ProServ Consulting Group,Training Session,10,10,09/05/2024,Damaged - partial,Bilal Adnan
GR-2024-0016,PO-2024-0016,Premier Raw Materials Inc.,Steel Sheet 1m²,406,406,18/03/2024,Good,Bilal Adnan
GR-2024-0017,PO-2024-0017,ProServ Consulting Group,Training Session,10,10,10/08/2024,Good,Ahmad Raza
GR-2024-0018,PO-2024-0018,National Utilities Corp.,Electricity Bill,1,1,19/10/2024,Good,Sara Khan
GR-2024-0019,PO-2024-0019,ProServ Consulting Group,Consulting Day Rate,5,5,15/09/2024,Good,Ahmad Raza
GR-2024-0020,PO-2024-0020,ProServ Consulting Group,Legal Advisory Fee,9,9,19/06/2024,Good,Bilal Adnan
GR-2024-0021,PO-2024-0021,Premier Raw Materials Inc.,PVC Pipe 3m,211,211,26/10/2024,Good,Zainab Mir
GR-2024-0022,PO-2024-0022,Apex Office Supplies Ltd.,File Folders,14,14,04/08/2024,Good,Ahmad Raza
GR-2024-0023,PO-2024-0023,TechCore Solutions Pvt.,USB Hub,19,19,12/03/2024,Good,Bilal Adnan
GR-2024-0025,PO-2024-0025,Green Planet Cleaning Co.,Disinfectant Spray,74,81,05/05/2024,Good,Usman Ali
