po_number,vendor_id,vendor_name,category,item_description,quantity,unit_price,subtotal,tax_amount,grand_total,date_issued,payment_terms,status
PO-2024-0001,V006,ProServ Consulting Group,Professional Services,Consulting Day Rate,5,1602.01,8010.05,801.01,8811.06,26/03/2024,Net 30,Active
PO-2024-0002,V006,ProServ Consulting Group,Professional Services,Training Session,1,634.09,634.09,63.41,697.5,05/05/2024,Net 45,Active
PO-2024-0003,V005,Premier Raw Materials Inc.,Raw Materials,PVC Pipe 3m,386,335.45,129483.7,12948.37,142432.07,20/10/2024,Due on Receipt,Active
PO-2024-0004,V008,Horizon IT Equipment Co.,IT Equipment,Network Switch,9,1628.39,14655.51,1465.55,16121.06,18/01/2024,Net 45,Active
PO-2024-0005,V006,ProServ Consulting Group,Professional Services,Audit Services,5,1199.66,5998.3,599.83,6598.13,05/07/2024,Net 30,Active
PO-2024-0006,V001,Apex Office Supplies Ltd.,Office Supplies,A4 Paper Ream,101,68.56,6924.56,692.46,7617.02,29/05/2024,Net 30,Active
PO-2024-0007,V006,ProServ Consulting Group,Professional Services,Consulting Day Rate,7,854.6,5982.2,598.22,6580.42,13/06/2024,2/10 Net 30,Active
PO-2024-0008,V003,Green Planet Cleaning Co.,Cleaning Supplies,Floor Cleaner 5L,10,82.74,827.4,82.74,910.14,11/06/2024,Net 30,Active
PO-2024-0009,V002,TechCore Solutions Pvt.,IT Equipment,"Monitor 24""",9,934.15,8407.35,840.74,9248.09,19/07/2024,Net 45,Active
PO-2024-0010,V003,Green Planet Cleaning Co.,Cleaning Supplies,Disinfectant Spray,90,39.37,3543.3,354.33,3897.63,20/02/2024,2/10 Net 30,Active
PO-2024-0011,V006,ProServ Consulting Group,Professional Services,Legal Advisory Fee,3,2580.17,7740.51,774.05,8514.56,01/06/2024,2/10 Net 30,Active
PO-2024-0012,V008,Horizon IT Equipment Co.,IT Equipment,Laptop,8,1652.52,13220.16,1322.02,14542.18,24/06/2024,Due on Receipt,Active
PO-2024-0013,V003,Green Planet Cleaning Co.,Cleaning Supplies,Disinfectant Spray,77,106.4,8192.8,819.28,9012.08,24/06/2024,Net 45,Active
PO-2024-0014,V006,ProServ Consulting Group,Professional Services,Training Session,8,1142.92,9143.36,914.34,10057.7,26/03/2024,Net 45,Active
PO-2024-0015,V006,ProServ Consulting Group,Professional Services,Training Session,10,2297.3,22973.0,2297.3,25270.3,06/05/2024,Net 45,Active
PO-2024-0016,V005,Premier Raw Materials Inc.,Raw Materials,Steel Sheet 1m²,406,52.14,21168.84,2116.88,23285.72,11/03/2024,Net 45,Active
PO-2024-0017,V006,ProServ Consulting Group,Professional Services,Training Session,10,785.87,7858.7,785.87,8644.57,28/07/2024,2/10 Net 30,Active
PO-2024-0018,V004,National Utilities Corp.,Utilities,Electricity Bill,1,2108.79,2108.79,210.88,2319.67,15/10/2024,Net 60,Active
PO-2024-0019,V006,ProServ Consulting Group,Professional Services,Consulting Day Rate,5,2456.44,12282.2,1228.22,13510.42,03/09/2024,Net 30,Active
PO-2024-0020,V006,ProServ Consulting Group,Professional Services,Legal Advisory Fee,9,4606.83,41461.47,4146.15,45607.62,15/06/2024,2/10 Net 30,Active
PO-2024-0021,V005,Premier Raw Materials Inc.,Raw Materials,PVC Pipe 3m,211,388.38,81948.18,8194.82,90143.0,17/10/2024,2/10 Net 30,Active
PO-2024-0022,V001,Apex Office Supplies Ltd.,Office Supplies,File Folders,14,13.39,187.46,18.75,206.21,18/07/2024,Net 60,Active
PO-2024-0023,V002,TechCore Solutions Pvt.,IT Equipment,USB Hub,19,1896.55,36034.45,3603.44,39637.89,27/02/2024,Due on Receipt,Active
PO-2024-0024,V001,Apex Office Supplies Ltd.,Office Supplies,Ballpoint Pen Set,178,40.65,7235.7,723.57,7959.27,22/10/2024,Net 45,Active
PO-2024-0025,V003,Green Planet Cleaning Co.,Cleaning Supplies,Disinfectant Spray,74,93.08,6887.92,688.79,7576.71,26/04/2024,Net 60,Active
PO-2024-0026,V004,National Utilities Corp.,Utilities,Water Supply,1,538.81,538.81,53.88,592.69,09/05/2024,Net 30,Active
