invoice_number,po_number,vendor_name,item_description,quantity,unit_price,subtotal,tax_rate,tax_amount,grand_total,invoice_date,payment_terms,scenario,expected_anomaly
INV-2024-0001,,ProServ Consulting Group,Consulting Day Rate,5,1602.01,8010.05,0.1,801.01,8811.06,10/04/2024,Net 30,missing_po,No PO reference number on invoice
INV-2024-0002,PO-2024-0002,ProServ Consulting Group,Training Session,1,634.09,634.09,0.1,63.41,697.5,12/05/2024,Net 45,quantity_overbill,Invoice claims 1 units; GR shows 1 received
INV-2024-0003,PO-2024-0004,Horizon IT Equipment Co.,Network Switch,9,1628.39,14655.51,0.1,1465.55,16121.06,27/01/2024,Net 45,correct,
INV-2024-0004,PO-2024-0004,ProServ Consulting Group,Audit Services,5,1199.66,5998.3,0.1,599.83,6598.13,12/07/2024,Net 30,duplicate_submission,Duplicate: PO reference PO-2024-0004 already invoiced
INV-2024-0005,PO-2024-0006,Apex Office Supplies Ltd.,A4 Paper Ream,144,68.56,9872.64,0.1,987.26,10859.9,17/06/2024,Net 30,quantity_overbill,Invoice claims 144 units; GR shows 101 received
INV-2024-0006,PO-2024-0007,ProServ Consulting Group,Consulting Day Rate,7,854.6,5982.2,0.1,598.22,6580.42,30/06/2024,2/10 Net 30,correct,
INV-2024-0007,PO-2024-0008,Green Planet Cleaning Co.,Floor Cleaner 5L,10,82.74,827.4,0.1,82.74,910.14,04/07/2024,Net 30,correct,
INV-2024-0008,PO-2024-0009,TechCore Solutions Pvt.,"Monitor 24""",9,934.15,8407.35,0.1,840.74,9248.09,24/07/2024,Net 45,correct,
INV-2024-0009,PO-2024-0011,ProServ Consulting Group,Legal Advisory Fee,3,3195.67,9587.01,0.1,958.7,10545.71,24/06/2024,2/10 Net 30,price_mismatch,Unit price inflated by 24% above agreed rate
INV-2024-0010,PO-2024-0012,Horizon IT Equipment Co.,Laptop,8,1652.52,13220.16,0.1,1322.02,14542.18,08/07/2024,Due on Receipt,correct,
INV-2024-0011,PO-2024-0013,Green Planet Cleaning Co.,Disinfectant Spray,77,106.4,8192.8,0.1,819.28,9012.08,12/07/2024,Net 45,correct,
INV-2024-0012,PO-2024-0014,ProServ Consulting Group,Training Session,8,1142.92,9143.36,0.1,914.34,10057.7,17/04/2024,Net 45,correct,
