total_amount,quantity,unit_price,days_between_po_and_invoice,is_anomaly
4111.72,77,53.4,22,0
1931.05,86,22.45,43,0
4372.02,25,174.88,36,0
926.87,165,5.62,34,0
4876.66,105,46.44,26,0
1863.33,103,18.09,39,0
2512.06,115,21.84,14,0
562.33,92,6.11,8,0
1681.75,36,46.72,29,0
1470.05,125,11.76,11,0
4530.66,62,73.08,43,0
512.83,102,5.03,27,0
109.48,1290,0.08,-23,1
3207.45,197,16.28,34,0
2750.1,87,31.61,9,0
4888.52,9,543.17,35,0
2526.3,176,14.35,25,0
282.08,93,3.03,44,0
708.3,94,7.54,10,0
1146.78,48,23.89,7,0
1639.24,31,52.88,13,0
3424.48,145,23.62,4,0
1930.21,67,28.81,34,0
697.29,99,7.04,35,0
4091.44,195,20.98,16,0
3010.28,115,26.18,23,0
761.16,188,4.05,23,0
1212.26,142,8.54,11,0
1950.04,194,10.05,11,0
76249.71,2,38124.86,199,1
2238.1,18,124.34,16,0
1299.37,34,38.22,28,0
1323.77,130,10.18,44,0
3867.31,185,20.9,16,0
4749.43,183,25.95,37,0
1295.91,68,19.06,43,0
503.98,61,8.26,31,0
1905.48,25,76.22,-12,1
967.38,32,30.23,-24,1
3967.33,40,99.18,5,0
2888.33,186,15.53,43,0
3046.86,30,101.56,10,0
3201.26,163,19.64,19,0
3942.74,134,29.42,38,0
349.23,168,2.08,45,0
4134.92,12,344.58,8,0
2261.4,185,12.22,26,0
447.56,89,5.03,37,0
2724.07,49,55.59,10,0
2651.11,85,31.19,14,0
3320.33,26,127.7,42,0
173498.38,5,34699.68,209,1
174130.23,5,34826.05,287,1
4389.88,7,627.13,22,0
3117.57,66,47.24,34,0
2775.68,180,15.42,24,0
4050.59,142,28.53,33,0
158.6,173,0.92,28,0
1371.93,38,36.1,21,0
873.51,81,10.78,4,0
4053.03,121,33.5,11,0
99.21,4277,0.02,-25,1
1502.54,16,93.91,15,0
2567.02,9,285.22,26,0
216.2,158,1.37,6,0
4317.44,152,28.4,30,0
4842.62,121,40.02,8,0
1800.31,175,10.29,30,0
1070.1,30,35.67,41,0
2351.13,192,12.25,40,0
1995.64,35,57.02,195,1
4672.07,189,24.72,23,0
3833.8,76,50.44,42,0
125.09,2183,0.06,167,1
2934.56,41,71.57,25,0
167653.57,3,55884.52,-25,1
1486.55,103,14.43,42,0
2357.94,171,13.79,25,0
101.4,2441,0.04,-3,1
130.29,146,0.89,40,0
4980.05,124,40.16,34,0
2988.65,120,24.91,35,0
689.47,141,4.89,17,0
2568.92,74,34.72,29,0
4660.28,86,54.19,13,0
2981.52,144,20.7,14,0
3087.19,169,18.27,38,0
2524.3,116,21.76,44,0
433.59,4228,0.1,-20,1
360.9,132,2.73,41,0
933.44,142,6.57,28,0
4471.0,40,111.78,23,0
4033.02,155,26.02,45,0
2480.49,152,16.32,18,0
3856.41,169,22.82,44,0
1103.06,173,6.38,33,0
4729.35,40,118.23,19,0
1736.49,18,96.47,19,0
355.7,145,2.45,35,0
1836.44,151,12.16,26,0
386.44,43,8.99,3,0
2428.22,139,17.47,43,0
827.43,49,16.89,38,0
2645.38,39,67.83,35,0
2206.6,107,20.62,36,0
784.25,37,21.2,20,0
2276.18,151,15.07,44,0
2162.48,175,12.36,19,0
2032.88,150,13.55,38,0
4510.99,178,25.34,37,0
1755.42,21,83.59,37,0
1344.69,97,13.86,18,0
512.59,176,2.91,30,0
2469.7,135,18.29,31,0
1727.71,121,14.28,28,0
266.28,98,2.72,18,0
4015.68,191,21.02,30,0
313.62,133,2.36,26,0
402.34,64,6.29,19,0
829.18,163,5.09,6,0
2547.52,49,51.99,5,0
3420.23,40,85.51,43,0
964.67,40,24.12,33,0
115487.82,3,38495.94,-7,1
3404.93,189,18.02,45,0
4958.79,171,29.0,5,0
698.69,101,6.92,12,0
3944.63,67,58.88,11,0
911.75,97,9.4,35,0
436.61,149,2.93,10,0
3424.91,51,67.16,13,0
3968.73,37,107.26,45,0
4371.36,18,242.85,44,0
4577.97,148,30.93,29,0
3095.97,25,123.84,4,0
2654.12,195,13.61,7,0
3649.85,173,21.1,36,0
3194.73,164,19.48,23,0
4812.04,181,26.59,19,0
2574.26,94,27.39,25,0
4215.99,102,41.33,24,0
586.31,64,9.16,33,0
2539.18,19,133.64,10,0
2209.29,122,18.11,7,0
787.5,73,10.79,12,0
742.79,144,5.16,34,0
121469.79,1,121469.79,-6,1
710.38,95,7.48,37,0
2119.77,45,47.11,23,0
4028.08,72,55.95,42,0
413.98,134,3.09,31,0
446.34,174,2.57,21,0
4557.55,195,23.37,34,0
2902.42,200,14.51,14,0
618.14,62,9.97,44,0
1483.87,82,18.1,33,0
2183.35,147,14.85,38,0
1217.1,25,48.68,26,0
290.15,6,48.36,29,0
3407.62,151,22.57,31,0
874.89,118,7.41,25,0
2302.14,160,14.39,26,0
3401.32,143,23.79,24,0
577.43,6,96.24,22,0
993.52,158,6.29,35,0
2313.29,66,35.05,16,0
4195.51,153,27.42,45,0
1686.89,192,8.79,32,0
110.28,1482,0.07,-23,1
4234.6,99,42.77,10,0
2590.58,121,21.41,39,0
3945.54,57,69.22,7,0
153.24,88,1.74,13,0
1534.87,25,61.39,44,0
2630.19,110,23.91,22,0
2670.62,75,35.61,37,0
207.09,109,1.9,14,0
1079.67,22,49.08,359,1
2156.24,195,11.06,38,0
66.54,4966,0.01,-19,1
4401.42,132,33.34,4,0
3303.86,22,150.18,12,0
3618.16,60,60.3,30,0
4837.0,153,31.61,39,0
236.85,91,2.6,42,0
121343.23,4,30335.81,137,1
719.37,34,21.16,187,1
2425.03,148,16.39,20,0
3783.05,62,61.02,28,0
2160.05,32,67.5,34,0
1689.64,33,51.2,29,0
1391.04,69,20.16,17,0
3984.93,25,159.4,26,0
738.94,82,9.01,18,0
4023.94,189,21.29,33,0
2515.29,165,15.24,37,0
2826.39,174,16.24,33,0
335.8,123,2.73,22,0
4045.75,148,27.34,42,0
3054.97,95,32.16,17,0
2473.72,43,57.53,31,0
2916.76,111,26.28,21,0
111.09,110,1.01,27,0
2995.47,150,19.97,21,0
2690.72,133,20.23,44,0
625.39,57,10.97,40,0
2238.93,82,27.3,20,0
301.29,11,27.39,-22,1
73940.46,4,18485.12,-30,1
4117.22,67,61.45,5,0
349.72,75,4.66,15,0
2895.32,184,15.74,21,0
4176.78,162,25.78,29,0
4904.83,66,74.32,39,0
2122.96,110,19.3,16,0
2884.22,184,15.68,10,0
1637.29,182,9.0,15,0
412.68,1422,0.29,214,1
3093.51,116,26.67,20,0
2220.35,79,28.11,7,0
2366.7,54,43.83,10,0
704.19,143,4.92,26,0
3000.83,163,18.41,17,0
3437.92,76,45.24,37,0
4355.02,117,37.22,9,0
3764.86,150,25.1,42,0
150.65,125,1.21,5,0
2601.15,144,18.06,33,0
2145.11,78,27.5,18,0
1297.38,173,7.5,41,0
2918.89,192,15.2,11,0
2359.04,73,32.32,31,0
647.25,54,11.99,23,0
533.54,64,8.34,7,0
2325.33,141,16.49,24,0
1474.56,151,9.77,37,0
3005.87,10,300.59,6,0
1585.65,172,9.22,45,0
2128.14,164,12.98,32,0
1735.93,162,10.72,41,0
98968.28,1,98968.28,-12,1
1588.21,8,198.53,38,0
961.04,143,6.72,44,0
1418.67,155,9.15,36,0
3630.24,106,34.25,19,0
2428.92,100,24.29,38,0
666.15,99,6.73,30,0
1219.53,42,29.04,19,0
146261.17,2,73130.59,-4,1
4953.97,127,39.01,40,0
2285.2,63,36.27,29,0
1543.07,169,9.13,4,0
1565.72,153,10.23,26,0
2528.92,93,27.19,6,0
1234.45,17,72.61,45,0
367.69,2218,0.17,-1,1
1651.83,68,24.29,3,0
4237.37,69,61.41,15,0
3883.12,157,24.73,3,0
3543.59,137,25.87,16,0
4769.35,144,33.12,35,0
2620.7,43,60.95,41,0
3575.16,102,35.05,41,0
2346.57,149,15.75,40,0
1221.84,131,9.33,4,0
2953.0,148,19.95,38,0
1652.67,49,33.73,19,0
3034.46,23,131.93,15,0
1276.33,117,10.91,31,0
291.82,4764,0.06,-10,1
4568.5,41,111.43,17,0
4647.93,81,57.38,13,0
1457.48,127,11.48,31,0
3355.81,186,18.04,7,0
1961.09,174,11.27,44,0
173426.03,1,173426.03,337,1
1378.56,67,20.58,8,0
884.75,153,5.78,12,0
274.47,14,19.61,22,0
804.44,89,9.04,17,0
877.68,75,11.7,29,0
2263.29,191,11.85,25,0
4432.8,172,25.77,9,0
178.27,52,3.43,34,0
801.05,149,5.38,22,0
4203.39,24,175.14,45,0
479.35,176,2.72,9,0
832.5,111,7.5,33,0
493.47,3782,0.13,-4,1
674.84,65,10.38,44,0
1533.96,9,170.44,26,0
1582.43,101,15.67,44,0
1319.4,127,10.39,16,0
2268.46,9,252.05,8,0
1491.8,5,298.36,42,0
209.48,174,1.2,29,0
2830.17,86,32.91,18,0
4531.27,42,107.89,30,0
2614.61,82,31.89,13,0
2464.88,6,410.81,37,0
530.96,165,3.22,44,0
1322.0,128,10.33,21,0
1400.92,31,45.19,335,1
1161.47,86,13.51,9,0
309.21,166,1.86,44,0
3918.55,72,54.42,24,0
541.81,180,3.01,26,0
417.24,123,3.39,31,0
1316.82,43,30.62,38,0
3196.57,100,31.97,19,0
3326.6,129,25.79,41,0
4068.26,147,27.68,6,0
889.03,73,12.18,22,0
3955.93,23,172.0,31,0
90.48,32,2.83,30,0
2149.43,102,21.07,17,0
4979.84,34,146.47,9,0
4335.7,89,48.72,20,0
2693.36,84,32.06,33,0
456.09,44,10.37,27,0
2952.6,64,46.13,24,0
4119.47,107,38.5,34,0
3330.71,169,19.71,43,0
4428.92,11,402.63,29,0
1132.66,121,9.36,26,0
1590.11,38,41.84,209,1
3281.82,126,26.05,33,0
1476.68,107,13.8,38,0
3417.97,35,97.66,11,0
556.05,27,20.59,14,0
2943.57,168,17.52,26,0
3932.66,149,26.39,9,0
1973.8,99,19.94,45,0
2685.08,186,14.44,39,0
2303.96,87,26.48,15,0
3193.53,146,21.87,20,0
989.68,45,21.99,34,0
4463.3,122,36.58,12,0
1512.13,68,22.24,7,0
2772.49,79,35.09,22,0
2463.37,95,25.93,19,0
952.28,39,24.42,7,0
420.17,1170,0.36,304,1
2785.87,19,146.62,43,0
3820.06,86,44.42,16,0
3124.09,161,19.4,9,0
2392.64,140,17.09,25,0
1275.18,93,13.71,12,0
112262.85,2,56131.43,219,1
3745.47,91,41.16,10,0
162.12,19,8.53,-13,1
2178.07,77,28.29,40,0
1417.42,111,12.77,24,0
148.34,2741,0.05,-27,1
1225.19,29,42.25,-30,1
236.16,99,2.39,21,0
2990.7,103,29.04,32,0
3466.89,60,57.78,31,0
977.2,176,5.55,8,0
1300.77,44,29.56,30,0
1276.88,27,47.29,-30,1
4869.93,132,36.89,34,0
1796.44,151,11.9,29,0
497.0,106,4.69,3,0
2811.92,103,27.3,21,0
4987.26,196,25.45,8,0
4169.11,132,31.58,21,0
2112.1,168,12.57,4,0
1360.05,58,23.45,39,0
2589.78,196,13.21,13,0
2531.77,20,126.59,31,0
1567.15,159,9.86,30,0
1516.42,97,15.63,14,0
2576.89,34,75.79,36,0
4788.93,127,37.71,12,0
1174.74,36,32.63,-13,1
3827.43,74,51.72,31,0
151642.32,3,50547.44,-28,1
2279.99,157,14.52,33,0
3132.04,132,23.73,43,0
4368.3,14,312.02,42,0
1851.29,77,24.04,27,0
1869.34,61,30.64,17,0
4824.37,45,107.21,29,0
3717.8,12,309.82,8,0
1546.22,186,8.31,37,0
3684.29,93,39.62,28,0
1568.69,108,14.52,35,0
3626.1,109,33.27,44,0
4372.73,90,48.59,8,0
1359.07,36,37.75,32,0
473.78,189,2.51,29,0
1684.95,125,13.48,9,0
2311.34,82,28.19,15,0
309.38,194,1.59,29,0
1874.5,196,9.56,19,0
1482.76,35,42.36,3,0
3373.15,139,24.27,23,0
207.87,2151,0.1,-11,1
1261.43,16,78.84,28,0
4775.31,42,113.7,21,0
657.06,23,28.57,31,0
415.07,86,4.83,44,0
1960.1,23,85.22,266,1
1756.77,192,9.15,45,0
113580.95,2,56790.47,-10,1
3188.91,120,26.57,34,0
2270.26,101,22.48,27,0
3619.86,102,35.49,12,0
918.7,168,5.47,28,0
2393.92,62,38.61,22,0
728.33,90,8.09,33,0
2081.37,161,12.93,33,0
4040.53,50,80.81,9,0
3485.2,130,26.81,15,0
